,lambda_x,lambda_y,stress_x,stress_y,experiment_type,P11_model,P22_model
198,tensor(1.0542),tensor(1.),tensor(0.0118),tensor(0.0015),HolY,0.0028823907,0.008556039
199,tensor(1.0618),tensor(1.),tensor(0.0134),tensor(0.0018),HolY,0.0040907664,0.010726383
200,tensor(1.0698),tensor(1.),tensor(0.0154),tensor(0.0020),HolY,0.005676773,0.013398862
201,tensor(1.0774),tensor(1.),tensor(0.0173),tensor(0.0026),HolY,0.0075081233,0.016345695
202,tensor(1.0857),tensor(1.),tensor(0.0192),tensor(0.0021),HolY,0.009915789,0.020090237
203,tensor(1.0934),tensor(1.),tensor(0.0217),tensor(0.0027),HolY,0.0125258835,0.02405136
204,tensor(1.1013),tensor(1.),tensor(0.0243),tensor(0.0039),HolY,0.015671164,0.028744303
205,tensor(1.1094),tensor(1.),tensor(0.0267),tensor(0.0031),HolY,0.01932499,0.03413096
206,tensor(1.1175),tensor(1.),tensor(0.0295),tensor(0.0038),HolY,0.023498077,0.040235046
207,tensor(1.1261),tensor(1.),tensor(0.0325),tensor(0.0052),HolY,0.028516129,0.04754115
208,tensor(1.1359),tensor(1.),tensor(0.0359),tensor(0.0046),HolY,0.0349792,0.056932732
209,tensor(1.1449),tensor(1.),tensor(0.0396),tensor(0.0065),HolY,0.041691355,0.066691786
210,tensor(1.1518),tensor(1.),tensor(0.0432),tensor(0.0067),HolY,0.04731787,0.07488938
211,tensor(1.1558),tensor(1.),tensor(0.0475),tensor(0.0078),HolY,0.05081864,0.08000061
212,tensor(1.1569),tensor(1.),tensor(0.0476),tensor(0.0091),HolY,0.05174643,0.081356764
213,tensor(1.1540),tensor(1.),tensor(0.0371),tensor(0.0081),HolY,0.04923324,0.07768475
214,tensor(1.1479),tensor(1.),tensor(0.0299),tensor(0.0075),HolY,0.044067085,0.07015073
215,tensor(1.1395),tensor(1.),tensor(0.0240),tensor(0.0069),HolY,0.03757687,0.06070776
216,tensor(1.1301),tensor(1.),tensor(0.0200),tensor(0.0069),HolY,0.031066695,0.051248237
217,tensor(1.1207),tensor(1.),tensor(0.0168),tensor(0.0061),HolY,0.025296647,0.04285656
218,tensor(1.1040),tensor(1.),tensor(0.0112),tensor(0.0053),HolY,0.016830051,0.030458663
219,tensor(1.0960),tensor(1.),tensor(0.0093),tensor(0.0047),HolY,0.013494371,0.025503859
220,tensor(1.0879),tensor(1.),tensor(0.0075),tensor(0.0048),HolY,0.010617291,0.021162828
221,tensor(1.0798),tensor(1.),tensor(0.0058),tensor(0.0048),HolY,0.008154101,0.017361883
222,tensor(1.0712),tensor(1.),tensor(0.0044),tensor(0.0038),HolY,0.0059868903,0.013906268
223,tensor(1.0632),tensor(1.),tensor(0.0030),tensor(0.0041),HolY,0.0043341154,0.0111467745
224,tensor(1.0553),tensor(1.),tensor(0.0019),tensor(0.0038),HolY,0.0030359456,0.008841352
225,tensor(1.0475),tensor(1.),tensor(0.0010),tensor(0.0035),HolY,0.0020392393,0.0069149737
226,tensor(1.0398),tensor(1.),tensor(0.),tensor(0.0031),HolY,0.001298955,0.0053067505
227,tensor(1.0322),tensor(1.),tensor(0.),tensor(0.0032),HolY,0.0007729339,0.003961267
228,tensor(1.0246),tensor(1.),tensor(0.),tensor(0.0024),HolY,0.0004206305,0.0028269563
229,tensor(0.9997),tensor(1.0004),tensor(0.),tensor(0.0026),OffX,4.1764637e-05,0.00064753025
230,tensor(1.0056),tensor(1.0060),tensor(0.0007),tensor(0.0125),OffX,0.0006774749,0.010208995
231,tensor(1.0106),tensor(1.0105),tensor(0.0013),tensor(0.0195),OffX,0.0012992169,0.018367255
232,tensor(1.0150),tensor(1.0141),tensor(0.0019),tensor(0.0253),OffX,0.001941302,0.025416868
233,tensor(1.0189),tensor(1.0173),tensor(0.0024),tensor(0.0351),OffX,0.0026235261,0.031727217
234,tensor(1.0225),tensor(1.0201),tensor(0.0034),tensor(0.0485),OffX,0.0033784825,0.0377465
235,tensor(1.0263),tensor(1.0232),tensor(0.0042),tensor(0.0634),OffX,0.0043580453,0.04459415
236,tensor(1.0298),tensor(1.0266),tensor(0.0051),tensor(0.0784),OffX,0.005591099,0.0525619
237,tensor(1.0335),tensor(1.0304),tensor(0.0064),tensor(0.0969),OffX,0.007151941,0.06155297
238,tensor(1.0372),tensor(1.0342),tensor(0.0079),tensor(0.1191),OffX,0.009023301,0.07120643
239,tensor(1.0413),tensor(1.0379),tensor(0.0103),tensor(0.1451),OffX,0.01129709,0.08144897
240,tensor(1.0454),tensor(1.0421),tensor(0.0125),tensor(0.1758),OffX,0.014211928,0.09365089
241,tensor(1.0494),tensor(1.0459),tensor(0.0154),tensor(0.2086),OffX,0.01735622,0.10544202
