,lambda,P_experimental,I1,I2,F,experiment_type,P_model_PDMS_StrainEnergyCANN_polinomial3_0
69,1.1262266,111.58400999999999,3.0442279125430822,3.040856509775991,"([1.1262266, 0, 0], [0, 0.9422954839103078, 0], [0, 0, 0.9422954839103078])",Tensile,11.282627
70,1.1325329,117.62924000000001,3.0485838822911004,3.044713399071378,"([1.1325329, 0, 0], [0, 0.9396683225236153, 0], [0, 0, 0.9396683225236153])",Tensile,11.953224
71,1.1385389,123.17666,3.0529082153117493,3.0485215286677425,"([1.1385389, 0, 0], [0, 0.9371865845440116, 0], [0, 0, 0.9371865845440116])",Tensile,12.608309
72,1.1448452,128.80686,3.057631605827,3.05265864839898,"([1.1448452, 0, 0], [0, 0.9346018066171176, 0], [0, 0, 0.9346018066171176])",Tensile,13.314285
73,1.1508512,133.91608,3.0623026124356456,3.056727953214093,"([1.1508512, 0, 0], [0, 0.9321598918356779, 0], [0, 0, 0.9321598918356779])",Tensile,14.004732
74,1.1568573,138.99518,3.0671405090681225,3.060920714576462,"([1.1568573, 0, 0], [0, 0.9297369779956137, 0], [0, 0, 0.9297369779956137])",Tensile,14.713598
75,1.1631636,144.19849,3.072398140083239,3.0654530545738012,"([1.1631636, 0, 0], [0, 0.9272131846879331, 0], [0, 0, 0.9272131846879331])",Tensile,15.478552
76,1.1691696,149.13666,3.0775733615701157,3.069890810649967,"([1.1691696, 0, 0], [0, 0.924828580874844, 0], [0, 0, 0.924828580874844])",Tensile,16.227535
77,1.1751756,153.11059,3.0829110108736586,3.0744443993645456,"([1.1751756, 0, 0], [0, 0.9224622810820774, 0], [0, 0, 0.9224622810820774])",Tensile,16.997252
78,1.1814819,157.9305,3.088688849039526,3.0793477619599408,"([1.1814819, 0, 0], [0, 0.9199971111400068, 0], [0, 0, 0.9199971111400068])",Tensile,17.828575
79,1.1874879,162.27236,3.094355200355902,3.084131526011815,"([1.1874879, 0, 0], [0, 0.9176676107691422, 0], [0, 0, 0.9176676107691422])",Tensile,18.643074
80,1.1937942,166.90154,3.1004752310202397,3.0892715875488252,"([1.1937942, 0, 0], [0, 0.9152405801390692, 0], [0, 0, 0.9152405801390692])",Tensile,19.523087
81,1.1998002,171.05408,3.106464732798151,3.094276152211956,"([1.1998002, 0, 0], [0, 0.9129469351715112, 0], [0, 0, 0.9129469351715112])",Tensile,20.385523
82,1.2058062,175.24113,3.112609922547054,3.0993851658841916,"([1.2058062, 0, 0], [0, 0.9106704482381686, 0], [0, 0, 0.9106704482381686])",Tensile,21.272472
83,1.2121125,179.81731,3.11922857211649,3.1048597840898595,"([1.2121125, 0, 0], [0, 0.9082983704323816, 0], [0, 0, 0.9082983704323816])",Tensile,22.23094
84,1.2181185,184.0489,3.1256890656319936,3.11017651638931,"([1.2181185, 0, 0], [0, 0.9060563960344145, 0], [0, 0, 0.9060563960344145])",Tensile,23.170424
85,1.2241245,189.32489999999999,3.132301534406711,3.115591554987855,"([1.2241245, 0, 0], [0, 0.9038309418542997, 0], [0, 0, 0.9038309418542997])",Tensile,24.136656
86,1.2304308,195.09220000000002,3.139406910865717,3.121381052730327,"([1.2304308, 0, 0], [0, 0.9015117739877493, 0], [0, 0, 0.9015117739877493])",Tensile,25.180801
87,1.2364368,200.44298,3.1463272982386004,3.12699168264052,"([1.2364368, 0, 0], [0, 0.8993195588455642, 0], [0, 0, 0.8993195588455642])",Tensile,26.204195
88,1.2424428,204.34249,3.15339616493258,3.132694921145706,"([1.2424428, 0, 0], [0, 0.8971432588111945, 0], [0, 0, 0.8971432588111945])",Tensile,27.256598
89,1.2487491,206.92761,3.160977070660704,3.138781046934542,"([1.2487491, 0, 0], [0, 0.894875062762924, 0], [0, 0, 0.894875062762924])",Tensile,28.393667
90,1.2547551,209.42269,3.1683468988709347,3.1446686217091147,"([1.2547551, 0, 0], [0, 0.892730793099164, 0], [0, 0, 0.892730793099164])",Tensile,29.507868
91,1.2610615,211.95210999999998,3.176241581106857,3.150944621437419,"([1.2610615, 0, 0], [0, 0.8904957816645194, 0], [0, 0, 0.8904957816645194])",Tensile,30.711506
92,1.2670675,214.34026,3.1839079223017825,3.1570094217437243,"([1.2670675, 0, 0], [0, 0.8883827645630943, 0], [0, 0, 0.8883827645630943])",Tensile,31.890669
93,1.2730735,216.72178,3.1917173393964213,3.1631581949522833,"([1.2730735, 0, 0], [0, 0.8862847180771457, 0], [0, 0, 0.8862847180771457])",Tensile,33.102676
94,1.2793798,219.17725,3.200070119732948,3.169703061466606,"([1.2793798, 0, 0], [0, 0.8840976889136483, 0], [0, 0, 0.8840976889136483])",Tensile,34.411457
95,1.2853858,221.58635999999998,3.2081697391218618,3.1760191001202838,"([1.2853858, 0, 0], [0, 0.8820297852907864, 0], [0, 0, 0.8820297852907864])",Tensile,35.693172
96,1.2913918,223.89167999999998,3.2164094447874647,3.1824144260902014,"([1.2913918, 0, 0], [0, 0.8799763245906747, 0], [0, 0, 0.8799763245906747])",Tensile,37.01005
97,1.2976981,226.30807000000001,3.2252108713905807,3.189213249068258,"([1.2976981, 0, 0], [0, 0.8778355519819674, 0], [0, 0, 0.8778355519819674])",Tensile,38.43147
98,1.3037041,228.545,3.2337348231190903,3.1957665716436425,"([1.3037041, 0, 0], [0, 0.8758111790683766, 0], [0, 0, 0.8758111790683766])",Tensile,39.822872
99,1.3100104,230.58706,3.2428326849504936,3.202728172720985,"([1.3100104, 0, 0], [0, 0.8737005885434477, 0], [0, 0, 0.8737005885434477])",Tensile,41.32427
100,1.0,0.0,4.0,4.0,"([1.0, 1.0, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,257.37408
101,1.0202803,7.24,4.04097189056809,4.04097189056809,"([1.0, 1.0202803, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,276.78098
102,1.0416192,15.7,4.08497055780864,4.08497055780864,"([1.0, 1.0416192, 0], [0, 1.0, 0], [0, 0, 1.0])",Shear,298.53885
