Xlam,PX,Ylam,PY,file,lambda_x,lambda_y,cycle_number,stress_x_mpa,stress_y_mpa
1.004,-0.0049665155783102,1.0,-0.002089787038673,csv_202.csv,1.0033349233696462,0.9981149134221732,2,-0.004972154784606501,-0.00224821864462335
1.006,-0.0026205548984197,1.0,-0.0025150534656933,csv_203.csv,1.0046569867599064,0.9975373706806052,2,-0.0034529489453691995,-0.00233311009959615
1.008,-0.0005653225912846,1.0,-0.0024325238080642,csv_204.csv,1.0066631776918202,0.9967781109347992,2,-0.00145985055111445,-0.00261382051454525
1.01,-1.2411050036426312e-05,1.0,-0.0024418589906966,csv_205.csv,1.008673754088852,0.9958874330840264,2,-0.0005962727395472632,-0.00252673016858675
1.012,0.0013759257531911,1.0,-0.0022818628767757,csv_206.csv,1.0110321294866784,0.9951913726210792,2,0.0011017721511825,-0.002223375907805
1.014,0.005330706478361,1.0,-0.0025321524260207,csv_207.csv,1.0128978292116495,0.9943806617498256,2,0.00348722559024755,-0.0026095927799454502
1.016,0.0069644617937594,1.0,-0.0023603682921606,csv_208.csv,1.0144282458292309,0.9938165926988868,2,0.00548213842389235,-0.0024512926620163
1.018,0.0095195012495392,1.0,-0.0019991358193595,csv_209.csv,1.0162805053296715,0.9931898338563744,2,0.00824930082731715,-0.00214835154487815
1.02,0.0097473819182635,1.0,-0.0027177933940099,csv_210.csv,1.0186781200689552,0.9928149049922425,2,0.009119753199447599,-0.0026907804575882002
1.022,0.0120478642269317,1.0,-0.0024816213842427,csv_211.csv,1.0208207889348655,0.9920661286238956,2,0.011500361437944251,-0.0024044564633435503
1.024,0.0137512515929756,1.0,-0.0021876861732108,csv_212.csv,1.0227558317914132,0.99121624150864,2,0.01244844710009765,-0.00219773798135685
1.026,0.0168154896714995,1.0,-0.002526265726836,csv_213.csv,1.0241857991447518,0.9906258727723652,2,0.0145898921433339,-0.00251916874790055
1.028,0.0171592359122824,1.0,-0.0026270486211722,csv_214.csv,1.0264607401036514,0.9896736587707384,2,0.01642699344709185,-0.0025784004513566498
1.03,0.018101409486317,1.0,-0.0023660976301486,csv_215.csv,1.028704004274671,0.9888542659922848,2,0.0168607564308401,-0.00232694878464695
1.032,0.0214597612006497,1.0,-0.002222831737117,csv_216.csv,1.0305536397665327,0.9881141258328444,2,0.0190826777625557,-0.0023229367975466
1.034,0.0237401530298371,1.0,-0.0026162037078129,csv_217.csv,1.032079439929764,0.9875554218755548,2,0.0210609866471999,-0.0026967551007641
1.036,0.0238237594875948,1.0,-0.0020458031496295,csv_218.csv,1.0343584759360347,0.9867962287647616,2,0.02237160206930925,-0.0021403716009141
1.038,0.0245476476316487,1.0,-0.0024674312886731,csv_219.csv,1.0364865535751742,0.9860222466788846,2,0.023935825766987752,-0.0022643397529842502
1.04,0.0277657351904206,1.0,-0.0026576959832691,csv_220.csv,1.0384833713712491,0.9853185397546598,2,0.02656897881934935,-0.0025972084800807
1.042,0.0301843156394526,1.0,-0.0023428334435255,csv_221.csv,1.0406990050322429,0.9846116132805092,2,0.0284146305080547,-0.00240893121546535
1.044,0.0319180183181142,1.0,-0.0022481212287976,csv_222.csv,1.0420716637921954,0.9840744807353444,2,0.03040331865243935,-0.0021475302234070497
1.046,0.0325301110881478,1.0,-0.0028557239038026,csv_223.csv,1.044261079461878,0.9832494358518482,2,0.030904584508807953,-0.0027623662840262
1.048,0.0356058083585305,1.0,-0.0024831977549963,csv_224.csv,1.0463563143879573,0.9825805973395624,2,0.0332615098728413,-0.00248601999384995
1.05,0.0369644478190813,1.0,-0.0023280176551192,csv_225.csv,1.0485513698950846,0.9818865785182368,2,0.034986039321371995,-0.0022622349366271
1.052,0.0389706520220445,1.0,-0.0024276716539138,csv_226.csv,1.0498759673224694,0.981407083529489,2,0.0372343764157983,-0.0023181064378116
