Xlam_clamps,PX_hist,Ylam_clamps,PY_hist,file,Xlam,Ylam,cycle_number,PX,PY
1.14448,0.1719629446237979,1.19152,0.2021109900627116,csv_494.csv,1.0630917961117985,1.1035618665514255,2,0.1704435766118529,0.1997062050255589
1.146,0.1734540812811494,1.19352,0.2042256242833592,csv_495.csv,1.0637010213134823,1.1048384351807587,2,0.17209120912644604,0.20212427020474133
1.14744,0.1745543144075835,1.19552,0.205343242027111,csv_496.csv,1.0643588832912572,1.106004008903745,2,0.1734431613134637,0.2035369066665032
1.14896,0.1759714341956057,1.19752,0.2066403530272075,csv_497.csv,1.0649893057160091,1.1070869625327242,2,0.17511601620020734,0.20541562290936485
1.15048,0.1774083344846843,1.19952,0.2081232977343,csv_498.csv,1.0655357234035914,1.1078529790663822,2,0.17688396429888825,0.20745349078821468
1.152,0.1780569758292961,1.20152,0.2090752138877437,csv_499.csv,1.0661903737227325,1.1090964361777584,2,0.1780569758292961,0.2090752138877437
1.002,-0.0090683636152595,1.00152,-0.010386082256563,csv_599.csv,0.9995684832697448,1.0047264751486402,3,-0.00453418180762975,-0.0051930411282815
1.004,-0.0071998734052096,1.00248,-0.0084608741755406,csv_600.csv,0.9989227313684994,1.0047427905373567,3,-0.00828386555399815,-0.0083867482293728
1.006,-0.0053734034586112,1.00352,-0.0070628405712439,csv_601.csv,1.0007371341845752,1.004072864982153,3,-0.00670146340280825,-0.00744487502863495
1.008,-0.0035279101446556,1.00448,-0.0061678868276777,csv_602.csv,1.0029081263734727,1.0033819864050135,3,-0.00517705510935115,-0.0063326140282817
1.01,-0.001088025495029,1.00552,-0.0044918134109324,csv_603.csv,1.0047870776443937,1.0027642496154323,3,-0.0032543759011485498,-0.0051617010254464
1.012,0.000917323692331,1.00648,-0.0027278958818597,csv_604.csv,1.00613787782494,1.0023795627590326,3,-0.0014304160071237,-0.0035078740873614998
1.014,0.0029543778423975,1.00752,-0.0013042683832922,csv_605.csv,1.0081843237627213,1.0018601824208884,3,0.0003975362454528,-0.00248689221663465
1.016,0.0051762026223477,1.00848,-0.0003997000589646,csv_606.csv,1.0101527485908963,1.0014546733451266,3,0.00237726861984145,-0.0011651592649387
1.018,0.0075287980328172,1.00952,0.0013962036001038,csv_607.csv,1.0117666728831125,1.0009522019063968,3,0.00458652850550145,0.00027829268297924995
1.02,0.0098920823625813,1.01048,0.002808015882339,csv_608.csv,1.0127933605844257,1.0008688032157824,3,0.0067203259175708,0.0014135989927678465
1.022,0.0122494173687013,1.01152,0.0043423390583112,csv_609.csv,1.0143104636678697,1.0007228626010394,3,0.00885877326472115,0.0031290328197594
1.024,0.0147779750955761,1.01248,0.0059020886009124,csv_610.csv,1.0161564444638451,1.0003501344040036,3,0.0113054853751435,0.00447006448518455
1.026,0.0172642433802344,1.01352,0.0072751756452749,csv_611.csv,1.0176958090185142,1.0003430331325176,3,0.01345502994202875,0.0056326220834959
1.028,0.0196205633498836,1.01448,0.0091910713541072,csv_612.csv,1.0191723232651897,1.0002409708446447,3,0.01566855432084835,0.0072869719912183
1.03,0.0222168973733845,1.01552,0.0105916332140424,csv_613.csv,1.0202553406049597,1.000233038322349,3,0.01803667263618145,0.0088432447234981
1.032,0.0246222297515238,1.01648,0.0119480429758001,csv_614.csv,1.0218212853435351,1.0003265645141604,3,0.02040005559257215,0.010090951727969599
1.034,0.0272291196616808,1.01752,0.0135867477311883,csv_615.csv,1.0234919315733595,1.0002952745865774,3,0.02289507020668215,0.01152764148851605
